BIB_ID	VENDOR_CODE	bibtype	date	form	place	language	govdoc	publisher	fund	poofid
10356386	AMAZON	am	2017	\	em\	por	\	Timor Editora,$c2017.;\2$aLisboa :$bLidel-Edições Técnicas	8110	14169
10355255	AMAZON	am	2001	b	enk	eng	\	Oxford University Press	p7253	14094
10355263	AMAZON	gm	2017	\	enk	nep	\	Matchbox Films	2010	14089
10355263	AMAZON	gm	2017	\	enk	nep	\	Matchbox Films	2010	14089
10355869	AMAZON	gm	2017	\	cau	eng	\	Gravitas Ventures	3111	14096
10353947	AMAZON	am	2003	b	pau	eng	\	Institute of Physics Pub.	p7291	14031
10353944	AMAZON	am	2018	b	ncu	eng	\	The Pragmatic Bookshelf	p6654	14034
10353954	AMAZON	am	2016	\	nyu	eng	\	RosettaBooks	8613	14022
10353900	AMAZON	am	2017	b	vau	eng	s	University of Virginia Press	2310	14002
10315721	AMAZON	am	2018	b	mau	eng	\	Beacon Press	521	12839
10353422	AMAZON	am	2016	b	sz\	eng	\	Peter Lang AG, International Academic Publishers	p3161	13976
10353423	AMAZON	am	2017	\	nyu	eng	\	Simon & Schuster	7110	13970
10353039	AMAZON	cm	2016	i	cau	ita	\	Passaggio Press	7110	13941
10352716	AMAZON	am	2007	b	enk	eng	\	Intellect Books	p2662	13883
10352894	AMAZON	am	2016	b	cau	eng	\	Libraries Unlimited	p3250	13913
10352764	AMAZON	am	2012	b	flu	eng	\	CRC Press	p7291	13936
10353036	AMAZON	am	2010	b	gw\	eng	\	VDM Verlag Dr. Müller	8110	13969
10353038	AMAZON	am	2017	c	ii\	eng	\	Tulika Books	2010	13940
10352795	AMAZON	am	2016	b	flu	eng	\	CRC Press Taylor & Francis Group	p7291	13930
10352880	AMAZON	am	2015	b	flu	eng	\	CRC Press, Taylor & Francis Group	p7291	13932
10352887	AMAZON	am	2003	b	enk	eng	\	IOP	p7291	13928
10352637	AMAZON	am	2010	b	ilu	eng	\	Association of College and Research Libraries, American Library Association	p3250	13914
10352628	AMAZON	am	2015	b	flu	eng	\	CRC Press, Taylor & Francis Group	p7291	13934
10352629	AMAZON	am	2012	b	sz\	eng	\	EPFL Press ;$aBoca Raton, Fla. :$bCRC Press	p7291	13929
10352631	AMAZON	am	2008	b	nyu	eng	\	Taylor & Francis	p7291	13927
10352634	AMAZON	am	2007	b	flu	eng	\	CRC Press/Taylor & Francis	p7058	13925
6201305	AMAZON	am	2007	\	nyu	eng	\	Kodansha International	8612	13938
10349708	AMAZON	am	2005	c	tu\	tur	\	Halil Altindere	p6755	13868
6201305	AMAZON	am	2007	\	nyu	eng	\	Kodansha International	8612	13938
10352391	AMAZON	am	1991	6	fr\	fre	\	Delcourt	p2662	13893
10347646	AMAZON	gm	2013	\	ii\	hin	\	Sony Music Entertainment India	2010	13839
10346374	AMAZON	am	2015	b	enk	eng	\	Forgotten Books	3020	13847
10346375	AMAZON	am	2017	b	nyu	eng	\	Spiegel & Grau	p4250	13842
10346376	AMAZON	am	2018	c	txu	eng	\	Nasher Scupture Center	p6755	13840
10343549	AMAZON	am	2015	\	cc\	eng	\	Farnshaw Books	p3150	13809
10337517	AMAZON	am	2015	b	nyu	eng	\	The Modern Language Association of America	2310	13799
10335558	AMAZON	am	2014	b	cou	eng	\	Fixed Pin Publishing	p1162	13775
10335555	AMAZON	am	2017	b	ne\	eng	\	Brill	2616	13794
10335556	AMAZON	am	2017	b	onc	eng	\	Canadian Filmmakers Distribution Centre	6714	13793
10335557	AMAZON	am	2014	\	mnu	eng	\	Rick Harrison Site Design, Inc.	1010	13782
10334939	AMAZON	am	2017	b	ilu	eng	\	American Institute of Steel Construction	p6657	13752
10334947	AMAZON	gm	2006	\	mau	eng	\	WGBH Educational Foundation	6310	13742
10334953	AMAZON	am	1959	\	nyu	heb	\	M. Fainshtein	p2251	13727
10334824	AMAZON	gm	2008	\	nyu	eng	\	Crowing Rooster Arts	6310	13748
10334826	AMAZON	gm	2007	\	vau	eng	\	PBS Home Video	6310	13744
8911948	AMAZON	am	2009	b	sp\	spa	\	FCE	7110	13687
10329976	AMAZON	am	2018	b	mau	eng	\	The Belknap Press of Harvard University Press	p2155	13601
10329511	AMAZON	am	2016	b	enk	eng	\	Bloomsbury Information	591	13661
10329518	AMAZON	am	2017	b	nyu	eng	\	Portfolio/Penguin	591	13604
9929486	AMAZON	am	2007	b	sp\	eng	\	Actar D	p6793	6888
10328900	AMAZON	am	2018	\	sz\	eng	\	Lars Müller Publishers	p6752	13552
10328529	AMAZON	am	2017	b	nyu	eng	\	Bloomsbury Academic, an imprint of Bloomsbury Publishing Inc	7110	13528
878398	AMAZON	am	1973	\	wb\	eng	\	NA	1010	13466
878398	AMAZON	am	1973	\	wb\	eng	\	NA	1010	13466
10325963	AMAZON	gm	2018	\	nyu	eng	\	Kino Lorber Incorporated	p3193	13256
10327066	AMAZON	am	2014	b	ii\	eng	\	SAGE Publications	7540	13368
10325964	AMAZON	gm	2018	\	nyu	eng	\	The Criterion Collection	p3166	13255
